2K;Aerolineas Galapagos (Aerogal);Ecuador
6R;Alrosa Mirny Air Enterprise;Russia
8Q;Baker Aviation;United States
BA;British Airways;United Kingdom
BG;Biman Bangladesh Airlines;Bangladesh
J4;Buffalo Airways;Canada
A8;Benin Golf Air;Benin
4T;Belair Airlines;Switzerland
UP;Bahamasair;Bahamas
PG;Bangkok Airways;Thailand
JV;Bearskin Lake Air Service;Canada
WW;bmibaby;United Kingdom
5Z;Bismillah Airlines;Bangladesh
BV;Blue Panorama Airlines;Italy
7R;BRA-Transportes Aereos;Brazil
8E;Bering Air;United States
B2;Belavia Belarusian Airlines;Belarus
K6;Bravo Air Congo;Democratic Republic of the Congo
GQ;Big Sky Airlines;United States
V9;BAL Bashkirian Airlines;Russia
7P;Metro Batavia;Indonesia
J8;Berjaya Air;Malaysia
E9;Boston-Maine Airways;United States
SN;Brussels Airlines;Belgium
NT;Binter Canarias;Spain
FB;Bulgaria Air;Bulgaria
5C;CAL Cargo Air Lines;Israel
AW;CHC Airways;Netherlands
UY;Cameroon Airlines;Cameroon
5T;Canadian North;Canada
W2;Canadian Western Airlines;Canada
9K;Cape Air;United States
2G;Cargoitalia;Italy
BW;Caribbean Airlines;Trinidad and Tobago
8B;Caribbean Star Airlines;Antigua and Barbuda
V3;Carpatair;Romania
CX;Cathay Pacific;Hong Kong SAR of China
KX;Cayman Airways;Cayman Islands
5J;Cebu Pacific;Philippines
2Z;Changan Airlines;China
C8;Chicago Express;United States
CI;China Airlines;Taiwan
MU;China Eastern Airlines;China
CZ;China Southern Airlines;China
HR;China United Airlines;China
X7;Chitaavia;Russia
A2;Cielos Airlines;Peru
G3;City Connexion Airlines;Burundi
WX;CityJet;Ireland
BX;Coast Air;Norway
MN;Comair;South Africa
KR;Comores Airlines;Comoros
DE;Condor Flugdienst;Germany
V0;Conviasa;Venezuela
CM;Copa Airlines;Panama
SS;Corsairfly;France
XK;Corse-Mediterranee;France
F5;Cosmic Air;Nepal
OU;Croatia Airlines;Croatia
CU;Cubana de Aviación;Cuba
CY;Cyprus Airways;Cyprus
YK;Cyprus Turkish Airlines;Turkey
OK;Czech Airlines;Czech Republic
DX;DAT Danish Air Transport;Denmark
D3;Daallo Airlines;Djibouti
DL;Delta Air Lines;United States
D7;Dinar;Argentina
DH;Discovery Airways;United States
KA;Dragonair;DRAGON
KB;Druk Air;Bhutan
BR;EVA Air;Taiwan
H7;Eagle Air;Uganda
QU;East African;Uganda
S9;East African Safari Air;Kenya
T3;Eastern Airways;United Kingdom
MS;Egyptair;Egypt
LY;El Al Israel Airlines;Israel
EK;Emirates;United Arab Emirates
EU;Empresa Ecuatoriana De Aviacion;Ecuador
E7;Estafeta Carga Aerea;Mexico
OV;Estonian Air;Estonia
ET;Ethiopian Airlines;Ethiopia
EY;Etihad Airways;United Arab Emirates
RZ;Euro Exec Express;Sweden
K2;Eurolot;Poland
EW;Eurowings;Germany
JN;Excel Airways;United Kingdom
EO;Express One International;United States
U2;easyJet;United Kingdom
EF;Far Eastern Air Transport;Taiwan
AY;Finnair;Finland
FY;Firefly;Malaysia
7F;First Air;Canada
B5;Flightline;United Kingdom
F2;Fly Air;Turkey
SH;Fly Me Sweden;Sweden
TE;FlyLal;Lithuania
LF;FlyNordic;Sweden
F7;Flybaboo;Switzerland
BE;Flybe;United Kingdom
VY;Formosa Airlines;Taiwan
HK;Four Star Aviation / Four Star Cargo;United States
F9;Frontier Airlines;United States
GA;Garuda Indonesia;Indonesia
A9;Georgian Airways;Georgia
QB;Georgian National Airlines;Georgia
ST;Germania;Germany
4U;Germanwings;Germany
GK;Go One Airways;United Kingdom
DC;Golden Air;Sweden
ZK;Great Lakes Airlines;United States
TA;Grupo TACA;Costa Rica
J9;Guinee Airlines;Guinea
GF;Gulf Air Bahrain;Bahrain
GY;Guyana Airways 2000;
HU;Hainan Airlines;China
X3;TUIfly;Germany
HF;Hapagfly;Germany
HQ;Harmony Airways;Canada
HA;Hawaiian Airlines;United States
BH;Hawkair;Canada
HN;Heavylift Cargo Airlines;Australia
JB;Helijet;Canada
HW;Hello;Switzerland
2L;Helvetic Airways;Switzerland
UD;Hex'Air;France
HD;Hokkaido International Airlines;Japan
HX;Hong Kong Airlines;Hong Kong SAR of China
UO;Hong Kong Express Airways;Hong Kong SAR of China
IB;Iberia Airlines;Spain
FW;Ibex Airlines;Japan
FI;Icelandair;Iceland
6E;IndiGo Airlines;India
QZ;Indonesia AirAsia;Indonesia
D6;Interair South Africa;South Africa
ID;Interlink Airlines;South Africa
6I;International Business Air;Sweden
3L;Intersky;Austria
I4;Interstate Airline;Netherlands
IR;Iran Air;Iran
EP;Iran Aseman Airlines;Iran
8L;Cargo Plus Aviation;United Arab Emirates
CN;Islands Nationair;Papua New Guinea
6H;Israir;Israel
JL;Japan Airlines;Japan
EG;Japan Asia Airways;Japan
NU;Japan Transocean Air;Japan
JU;Jat Airways;Serbia
VJ;Jatayu Airlines;Indonesia
7C;Jeju Air;Republic of Korea
9W;Jet Airways;India
3K;Jetstar Asia Airways;Singapore
LS;Jet2.com;United Kingdom
B6;JetBlue Airways;United States
SG;JetsGo;Canada
JQ;Jetstar Airways;Australia
KL;KLM Royal Dutch Airlines;Netherlands
RQ;Kam Air;Afghanistan
E2;Kampuchea Airlines;Cambodia
M5;Kenmore Air;United States
KQ;Kenya Airways;Kenya
Y9;Kish Air;Iran
KE;Korean Air;Republic of Korea
KU;Kuwait Airways;Kuwait
LR;LACSA;Costa Rica
LA;LAN Airlines;Chile
4M;LAN Argentina;Argentina
LO;LOT Polish Airlines;Poland
LT;LTU International;Germany
QV;Lao Airlines;Lao Peoples Democratic Republic
LI;Leeward Islands Air Transport;Antigua and Barbuda
LN;Libyan Arab Airlines;Libya
LM;Linhas A;Mozambique
JT;Lion Mentari Airlines;Indonesia
LH;Lufthansa;Germany
DV;Lufttaxi Fluggesellschaft;Germany
LG;Luxair;Luxembourg
MJ;L;Argentina
OM;MIAT Mongolian Airlines;Mongolia
W5;Mahan Air;Iran
MH;Malaysia Airlines;Malaysia
TF;Malmö Aviation;Sweden
RI;Mandala Airlines;Indonesia
AE;Mandarin Airlines;Taiwan
JE;Mango;South Africa
8M;Maxair;Sweden
MY;Maxjet Airways;United States
MW;Maya Island Air;Belize
IG;Meridiana;Italy
ME;Middle East Airlines;Lebanon
8I;Myway Airlines;Italy
YM;Montenegro Airlines;Montenegro
3R;Moskovia Airlines;Russia
M9;Motor Sich;Ukraine
P9;Nas Air;Mali
UE;Nasair;Eritrea
CE;Nationwide Airlines;South Africa
ON;Nauru Air Corporation;Nauru
RA;Nepal Airlines;Nepal
2N;NextJet;Sweden
HG;Niki;Austria
DD;Nok Air;Thailand
JH;Nordeste Linhas Aereas Regionais;Brazil
U7;Northern Dene Airways;Canada
J3;Northwestern Air;Canada
DY;Norwegian Air Shuttle;Norway
BJ;Nouvel Air Tunisie;Tunisia
M4;Nova Airline;Sudan
XY;Nas Air;Saudi Arabia
O6;Oceanair;Brazil
OA;Olympic Airlines;Greece
WY;Oman Air;Oman
OY;Omni Air International;United States
N3;Omskavia Airline;Russia
R2;Orenburg Airlines;Russia
OX;Orient Thai Airlines;Thailand
OJ;Overland Airways;Nigeria
PV;PAN Air;Spain
9Q;PB Air;Thailand
Y5;Pace Airlines;United States
BL;Jetstar Pacific;Vietnam
8P;Pacific Coastal Airline;Canada
Q8;Pacific East Asia Cargo Airlines;Philippines
PS;Pacific Southwest Airlines;United States
LW;Pacific Wings;United States
PK;Pakistan International Airlines;Pakistan
PQ;Panafrican Airways;Ivory Coast
KS;Peninsula Airways;United States
PR;Philippine Airlines;Philippines
9R;Phuket Air;Thailand
PI;Piedmont Airlines (1948-1989);United States
9E;Pinnacle Airlines;United States
PD;Porter Airlines;Canada
BK;Potomac Air;United States
PW;Precision Air;Tanzania
TO;President Airlines;Cambodia
FE;Primaris Airlines;United States
P0;Proflight Commuter Services;Zambia
QF;Qantas;Australia
QR;Qatar Airways;Qatar
V4;Reem Air;Kyrgyzstan
ZL;Regional Express;Australia
GZ;Air Rarotonga;Cook Islands
AT;Royal Air Maroc;Morocco
BI;Royal Brunei Airlines;Brunei
RJ;Royal Jordanian;Jordan
WB;Rwandair Express;Rwanda
FR;Ryanair;Ireland
S4;SATA International;Portugal
SA;South African Airways;South Africa
NL;Shaheen Air International;Pakistan
SK;Scandinavian Airlines System;Sweden
S7;S7 Airlines;Russia
BB;Seaborne Airlines;United States
UL;SriLankan Airlines;Sri Lanka
SY;Sun Country Airlines;United States
I6;Sky Eyes;Thailand
7G;Star Flyer;Japan
SP;SATA Air Acores;Portugal
SQ;Singapore Airlines;Singapore
5M;Sibaviatrans;Russia
SI;Skynet Airlines;Ireland
SJ;Sriwijaya Air;Indonesia
SX;Sky Work Airlines;Switzerland
DG;South East Asian Airlines;Philippines
5G;Skyservice Airlines;Canada
FS;Servicios de Transportes A;Argentina
SD;Sudan Airways;Sudan
SV;Saudi Arabian Airlines;Saudi Arabia
WN;Southwest Airlines;United States
A4;Southern Winds Airlines;Argentina
LX;Swiss International Air Lines;Switzerland
XQ;SunExpress;Turkey
E5;Samara Airlines;Russia
SC;Shandong Airlines;China
3U;Sichuan Airlines;China
FM;Shanghai Airlines;China
ZH;Shenzhen Airlines;China
NK;Spirit Airlines;United States
S3;Santa Barbara Airlines;Venezuela
H2;Sky Airline;Chile
BC;Skymark Airlines;Japan
LJ;Sierra National Airlines;Sierra Leone
MI;SilkAir;Singapore
PY;Surinam Airways;Suriname
IE;Solomon Airlines;Solomon Islands
6W;Saratov Aviation Division;Russia
HZ;Sat Airlines;Kazakhstan
S5;Shuttle America;United States
S6;Star Air;Denmark
EQ;TAME;Ecuador
JJ;TAM Brazilian Airlines;Brazil
TP;TAP Portugal;Portugal
TU;Tunisair;Tunisia
TR;Tiger Airways;Singapore
TG;Thai Airways International;Thailand
FD;Thai AirAsia;Thailand
TK;Turkish Airlines;Turkey
T7;Twin Jet;France
3P;Tiara Air;Aruba
PM;Tropic Air;Belize
GE;TransAsia Airways;Taiwan
HV;Transavia Holland;Netherlands
VR;TACV;Portugal
UN;Transaero Airlines;Russia
T5;Turkmenistan Airlines;Turkmenistan
UG;Tuninter;Tunisia
TW;Trans World Airlines;United States
DT;TAAG Angola Airlines;Angola
PZ;TAM Mercosur;Paraguay
RO;Tarom;Romania
8R;TRIP Linhas A;Brazil
UA;United Airlines;United States
U6;Ural Airlines;Russia
US;US Airways;United States
HY;Uzbekistan Airways;Uzbekistan
VA;V Australia Airlines;Australia
VF;Valuair;Singapore
VN;Vietnam Airlines;Vietnam
Y4;Volaris;Mexico
VX;Virgin America;United States
TV;Virgin Express;Belgium
VS;Virgin Atlantic Airways;United Kingdom
LC;Varig Log;Brazil
RG;VRG Linhas Aereas;Brazil
WJ;WebJet Linhas A;Brazil
WS;WestJet;Canada
WF;Widerøe;Norway
W6;Wizz Air;Hungary
SE;XL Airways France;France
MF;Xiamen Airlines;China
Y8;Yangtze River Express;China
IY;Yemenia;Yemen
Q3;Zambian Airways;Zambia
3J;Zip;Canada
Z4;Zoom Airlines;Canada
6T;Air Mandalay;Burma
BU;Braathens;Norway
JD;Japan Air System;Japan
2I;Star Peru (2I);Peru
4H;United Airways;Bangladesh
5H;Fly540;Kenya
WP;Island Air (WP);United States
B7;Uni Air;Taiwan
7J;Tajik Air;Tajikistan
TM;Air Mozambique;Mozambique
VH;Virgin Pacific;Fiji
Z2;Zest Air;Philippines
3O;Air Arabia Maroc;Morocco
YC;Ciel Canadien;Canada
DN;Voronezhskie Airlanes;Russia
IL;Illinois Airways;United States
SZ;Salzburg arrows;Austria
VB;Birmingham European;United Kingdom
5P;Pal airlines;Chile
3E;Air Choice One;United States
KN;China United;China
4Q;Safi Airlines;Afghanistan
J5;Alaska Seaplane Service;United States
OC;Catovair;Mauritius
UJ;AlMasria Universal Airlines;Egypt
6Y;SmartLynx Airlines;Latvia
RL;Royal Falcon;Jordan
VQ;Viking Hellas;Greece
DZ;Starline.kz;Kazakhstan
PN;West Air China;China
Y7;NordStar Airlines;Russia
Q2;Maldivian;Maldives
WU;Wizz Air Ukraine;Ukraine
FZ;Fly Dubai;United Arab Emirates
UR;UTair-Express;Russia
G5;Huaxia;China
OD;Zuliana de Aviacion;Venezuela
9C;China SSS;China
TJ;Transportes Aéreos Nacionales de Selva;Peru
Z6;ZABAIKAL AIRLINES;Russia
NS;Caucasus Airlines;Georgia
WM;Windward Islands Airways;Netherlands Antilles
YO;TransHolding System;Brazil
3F;Fly Colombia ( Interliging Flights );Colombia
YI;TUR Avrupa Hava YollarÄ±;Turkey
7M;Mongolian International Air Lines ;Mongolia
HI;Papillon Grand Canyon Helicopters;United States
7H;Era Alaska;United States
XV;BVI Airways;British Virgin Islands
YQ;Polet Airlines (Priv);Russia
L6;Mauritania Airlines International;Mauritania
NP;Nile Air;Egypt
YR;SENIC AIRLINES;United States
MM;Peach Aviation;Japan
4O;Interjet (ABC Aerolineas);Mexico
TZ;Scoot;Singapore
P4;Patriot Airways;United States
5Q;BQB Lineas Aereas;Uruguay
Z9;Flightlink Tanzania;Tanzania
I8;IzAvia;Russia
7I;Insel Air (7I/INC) (Priv);Netherlands Antilles
ZM;Apache Air;United States
QG;Citilink Indonesia;Indonesia
9N;Regional Air Iceland;Iceland
9V;Volotea Costa Rica;Costa Rica
D2;Severstal Air Company;Russia
4B;Boutique Air (Priv);United States
Q7;SkyBahamas Airlines;Bahamas
3M;Silver Airways (3M);United States
K3;Atlantic Air Cargo;United States
